Player Name,Team,Skin Tone
Paul George,Clippers/76ers,D
Kawhi Leonard,Clippers,D
Ivica Zubac,Clippers,L
James Harden,Clippers,D
Russell Westbrook,Clippers/Nuggets,D
Terance Mann,Clippers,D
Norman Powell,Clippers,D
PJ Tucker,Clippers,D
Aaron Gordon,Nuggets,L
Michael Porter Jr,Nuggets,L
Nikola Jokic,Nuggets,L
Kentavious Caldwell-Pope,Nuggets/Magic,D
Reggie Jackson,Nuggets/76ers,D
Christian Braun,Nuggets,L
Jalen Pickett,Nuggets,D
Zeke Nnaji,Nuggets,D
Peyton Watson,Nuggets,D
Justfin Holiday,Nuggets,D
Jaden Mcdaniels,Timberwolves,D
Karl Anthony-Towns,Timberwolves/Knicks,D
Rudy Gobert,Timberwolves,L
Nickeil Alexander-Walker,Timberwolves,D
Naz Reid,Timberwolves,D
Monte Morris,Timberwolves,D
Luka Garza,Timberwolves,L
Jordan McLaughlin,Timberwolves,D
Wendell Moore Jr,Timberwolves/Pistons,D
TJ Warren,Timberwolves,D
Anthony Edwards,Timberwolves,D
Kevin Durant,Suns,D
Grayson Allen,Suns,L
Jusuf Nurkic,Suns,L
Bradley Beal,Suns,D
Devin Booker,Suns,L
Eric Gordon,Suns/76ers,D
Drew Eubanks,Suns,L
Royce O'Neale,Suns/Nets,D
Bol Bol,Suns,D
Nassir Little,Suns,D
Josh Okogie,Suns,D
David Roddy,Suns/Grizzlies,D
Donte Divincenzo,Timberwolves,L
Julius Randle,Timberwolves,D
Josh Minott,Timberwolves,D
Andrew Wiggins,Warriors,D
Kyle Anderson,Warriors/Timberwolves,L
Trayce Jackson-Davis,Warriors,L
Dennis Schroder,Warriors/Raptors,D
Steph Curry,Warriors,L
Jonathan Kuminga,Warriors,D
Kevon Looney,Warriors,D
Brandin Podziemski,Warriors,L
Buddy Hield,Warriors,D
Gary Payton II,Warriors,D
Rui Hachimura,Lakers,D
LeBron James,Lakers,D
Anthony Davis,Lakers,D
Austin Reaves,Lakers,L
Max Christie,Lakers,D
D'Angelo Russell,Lakers,D
Cam Reddish,Lakers,D
Gabe Vincent,Lakers,D
Dalton Knecht,Lakers,L
Christian Koloko,Lakers,D
DeMar DeRozan,Kings/Bulls,D
Keegan Murray,Kings,D
Domantas Sabonis,Kings,L
De'Aaron Fox,Kings,D
Malik Monk,Kings,D
Kevin Huerter,Kings,L
Trey Lyles,Kings,L
Keon Ellis,Kings,D
Isaac Jones,Kings,D
Alex Len,Kings/Lakers,L
Paolo Banchero,Magic,D
Franz Wagner,Magic,L
Wendell Carter Jr,Magic,D
Jalen Suggs,Magic,L
Anthony Black,Magic,L
Jett Howard,Magic,D
Cole Anthony,Magic,L
Goga Bitadze,Magic,L
Caleb Houstan,Magic,L
Cory Joseph,Magic,D
Mac Mcclung,Magic,L
Gary Harris,Magic,D
Trevelin Queen,Magic,L
Jaren Jackson Jr,Grizzlies,D
Marcus Smart,Grizzlies,D
Zach Edey,Grizzlies,L
Desmond Bane,Grizzlies,D
Santi Aldama,Grizzlies,L
Ja Morant,Grizzlies,D
Jake Laravia,Grizzlies/Kings,L
Scotty Pippen Jr,Grizzlies,D
Jay Huff,Grizzlies,L
